Year,Date,District,Crop,Season,Rainfall_mm,Soil_Moisture_Percent,Area_hectare,Production_tonnes,Yield_tonnes_per_hectare
2026,2026-08-19,Ahmednagar,Maize,Kharif,23.8,34.04,97529,265278.88,2.72
2026,2026-08-20,Ahmednagar,Maize,Kharif,28.1,32.83,97529,265278.88,2.72
2026,2026-08-21,Ahmednagar,Maize,Kharif,25.1,34.34,97529,265278.88,2.72
2026,2026-08-22,Ahmednagar,Maize,Kharif,25.8,32.69,97529,265278.88,2.72
2026,2026-08-23,Ahmednagar,Maize,Kharif,34.6,33.5,97529,265278.88,2.72
2026,2026-08-24,Ahmednagar,Maize,Kharif,22.9,29.6,97529,265278.88,2.72
2026,2026-08-25,Ahmednagar,Maize,Kharif,1.7,30.75,97529,265278.88,2.72
2026,2026-08-26,Ahmednagar,Maize,Kharif,31.8,31.17,97529,265278.88,2.72
2026,2026-08-27,Ahmednagar,Maize,Kharif,17.0,29.96,97529,265278.88,2.72
2026,2026-08-28,Ahmednagar,Maize,Kharif,25.6,30.93,97529,265278.88,2.72
2026,2026-08-29,Ahmednagar,Maize,Kharif,46.9,30.19,97529,265278.88,2.72
2026,2026-08-30,Ahmednagar,Maize,Kharif,26.9,31.31,97529,265278.88,2.72
2026,2026-08-31,Ahmednagar,Maize,Kharif,34.6,33.51,97529,265278.88,2.72
2026,2026-09-01,Ahmednagar,Maize,Kharif,0.3,31.93,97529,265278.88,2.72
2026,2026-09-02,Ahmednagar,Maize,Kharif,29.6,32.02,97529,265278.88,2.72
2026,2026-09-03,Ahmednagar,Maize,Kharif,28.5,31.11,97529,265278.88,2.72
2026,2026-08-19,Ahmednagar,Soybean,Kharif,20.1,34.04,190303,234072.69,1.23
2026,2026-08-20,Ahmednagar,Soybean,Kharif,21.8,32.83,190303,234072.69,1.23
2026,2026-08-21,Ahmednagar,Soybean,Kharif,29.9,34.34,190303,234072.69,1.23
2026,2026-08-22,Ahmednagar,Soybean,Kharif,35.8,32.69,190303,234072.69,1.23
2026,2026-08-23,Ahmednagar,Soybean,Kharif,1.6,33.5,190303,234072.69,1.23
2026,2026-08-24,Ahmednagar,Soybean,Kharif,10.2,29.6,190303,234072.69,1.23
2026,2026-08-25,Ahmednagar,Soybean,Kharif,40.2,30.75,190303,234072.69,1.23
2026,2026-08-26,Ahmednagar,Soybean,Kharif,11.9,31.17,190303,234072.69,1.23
2026,2026-08-27,Ahmednagar,Soybean,Kharif,23.0,29.96,190303,234072.69,1.23
2026,2026-08-28,Ahmednagar,Soybean,Kharif,0.0,30.93,190303,234072.69,1.23
2026,2026-08-29,Ahmednagar,Soybean,Kharif,24.4,30.19,190303,234072.69,1.23
2026,2026-08-30,Ahmednagar,Soybean,Kharif,18.8,31.31,190303,234072.69,1.23
2026,2026-08-31,Ahmednagar,Soybean,Kharif,25.9,33.51,190303,234072.69,1.23
2026,2026-09-01,Ahmednagar,Soybean,Kharif,8.6,31.93,190303,234072.69,1.23
2026,2026-09-02,Ahmednagar,Soybean,Kharif,54.7,32.02,190303,234072.69,1.23
2026,2026-09-03,Ahmednagar,Soybean,Kharif,23.8,31.11,190303,234072.69,1.23
2026,2026-08-19,Ahmednagar,Cotton,Kharif,45.6,34.04,319727,150271.69,0.47
2026,2026-08-20,Ahmednagar,Cotton,Kharif,7.7,32.83,319727,150271.69,0.47
2026,2026-08-21,Ahmednagar,Cotton,Kharif,4.2,34.34,319727,150271.69,0.47
2026,2026-08-22,Ahmednagar,Cotton,Kharif,0.3,32.69,319727,150271.69,0.47
2026,2026-08-23,Ahmednagar,Cotton,Kharif,18.2,33.5,319727,150271.69,0.47
2026,2026-08-24,Ahmednagar,Cotton,Kharif,7.8,29.6,319727,150271.69,0.47
2026,2026-08-25,Ahmednagar,Cotton,Kharif,1.4,30.75,319727,150271.69,0.47
2026,2026-08-26,Ahmednagar,Cotton,Kharif,27.0,31.17,319727,150271.69,0.47
2026,2026-08-27,Ahmednagar,Cotton,Kharif,14.9,29.96,319727,150271.69,0.47
2026,2026-08-28,Ahmednagar,Cotton,Kharif,0.1,30.93,319727,150271.69,0.47
2026,2026-08-29,Ahmednagar,Cotton,Kharif,15.6,30.19,319727,150271.69,0.47
2026,2026-08-30,Ahmednagar,Cotton,Kharif,1.9,31.31,319727,150271.69,0.47
2026,2026-08-31,Ahmednagar,Cotton,Kharif,23.7,33.51,319727,150271.69,0.47
2026,2026-09-01,Ahmednagar,Cotton,Kharif,48.2,31.93,319727,150271.69,0.47
2026,2026-09-02,Ahmednagar,Cotton,Kharif,8.6,32.02,319727,150271.69,0.47
2026,2026-09-03,Ahmednagar,Cotton,Kharif,31.2,31.11,319727,150271.69,0.47
2026,2026-08-19,Ahmednagar,Sugarcane,Kharif,17.8,34.04,86471,6505213.33,75.23
2026,2026-08-20,Ahmednagar,Sugarcane,Kharif,39.5,32.83,86471,6505213.33,75.23
2026,2026-08-21,Ahmednagar,Sugarcane,Kharif,8.2,34.34,86471,6505213.33,75.23
2026,2026-08-22,Ahmednagar,Sugarcane,Kharif,0.7,32.69,86471,6505213.33,75.23
2026,2026-08-23,Ahmednagar,Sugarcane,Kharif,7.4,33.5,86471,6505213.33,75.23
2026,2026-08-24,Ahmednagar,Sugarcane,Kharif,18.9,29.6,86471,6505213.33,75.23
2026,2026-08-25,Ahmednagar,Sugarcane,Kharif,8.8,30.75,86471,6505213.33,75.23
2026,2026-08-26,Ahmednagar,Sugarcane,Kharif,28.2,31.17,86471,6505213.33,75.23
2026,2026-08-27,Ahmednagar,Sugarcane,Kharif,9.5,29.96,86471,6505213.33,75.23
2026,2026-08-28,Ahmednagar,Sugarcane,Kharif,11.6,30.93,86471,6505213.33,75.23
2026,2026-08-29,Ahmednagar,Sugarcane,Kharif,45.1,30.19,86471,6505213.33,75.23
2026,2026-08-30,Ahmednagar,Sugarcane,Kharif,20.9,31.31,86471,6505213.33,75.23
2026,2026-08-31,Ahmednagar,Sugarcane,Kharif,51.4,33.51,86471,6505213.33,75.23
2026,2026-09-01,Ahmednagar,Sugarcane,Kharif,10.0,31.93,86471,6505213.33,75.23
2026,2026-09-02,Ahmednagar,Sugarcane,Kharif,17.1,32.02,86471,6505213.33,75.23
