Year,District,Crop,Season,Area_hectare,Production_tonnes,Yield_tonnes_per_hectare
2026,Ahmednagar,Maize,Kharif,97529,265278.88,2.72
2026,Ahmednagar,Soybean,Kharif,190303,234072.69,1.23
2026,Ahmednagar,Cotton,Kharif,319727,150271.69,0.47
2026,Ahmednagar,Sugarcane,Kharif,86471,6505213.33,75.23
2026,Akola,Maize,Kharif,85783,233329.76,2.72
2026,Akola,Soybean,Kharif,182860,237718.0,1.3
2026,Akola,Cotton,Kharif,200458,84192.36,0.42
2026,Akola,Sugarcane,Kharif,76295,6312648.3,82.74
2026,Amravati,Maize,Kharif,74903,228454.15,3.05
2026,Amravati,Soybean,Kharif,260844,305187.48,1.17
2026,Amravati,Cotton,Kharif,331377,155747.19,0.47
2026,Amravati,Sugarcane,Kharif,63290,4832191.5,76.35
2026,Aurangabad,Maize,Kharif,114689,332598.1,2.9
2026,Aurangabad,Soybean,Kharif,166242,199490.4,1.2
2026,Aurangabad,Cotton,Kharif,338379,155654.34,0.46
2026,Aurangabad,Sugarcane,Kharif,82899,7110247.23,85.77
2026,Bhandara,Maize,Kharif,91956,301615.68,3.28
2026,Bhandara,Soybean,Kharif,203966,267195.46,1.31
2026,Bhandara,Cotton,Kharif,335339,154255.94,0.46
2026,Bhandara,Sugarcane,Kharif,85191,7093854.57,83.27
2026,Beed,Maize,Kharif,101046,275855.58,2.73
2026,Beed,Soybean,Kharif,184082,230102.5,1.25
2026,Beed,Cotton,Kharif,209405,90044.15,0.43
2026,Beed,Sugarcane,Kharif,53242,4172043.12,78.36
2026,Buldhana,Maize,Kharif,97326,284191.92,2.92
2026,Buldhana,Soybean,Kharif,202863,247492.86,1.22
2026,Buldhana,Cotton,Kharif,240852,118017.48,0.49
2026,Buldhana,Sugarcane,Kharif,76217,6386222.43,83.79
2026,Chandrapur,Maize,Kharif,72241,226836.74,3.14
2026,Chandrapur,Soybean,Kharif,175569,222972.63,1.27
2026,Chandrapur,Cotton,Kharif,362239,166629.94,0.46
2026,Chandrapur,Sugarcane,Kharif,72391,6155406.73,85.03
2026,Dhule,Maize,Kharif,108514,343989.38,3.17
2026,Dhule,Soybean,Kharif,184234,217396.12,1.18
2026,Dhule,Cotton,Kharif,248996,107068.28,0.43
2026,Dhule,Sugarcane,Kharif,57861,5164672.86,89.26
2026,Gadchiroli,Maize,Kharif,110323,318833.47,2.89
2026,Gadchiroli,Soybean,Kharif,240517,305456.59,1.27
2026,Gadchiroli,Cotton,Kharif,349643,157339.35,0.45
2026,Gadchiroli,Sugarcane,Kharif,60124,4680052.16,77.84
2026,Gondia,Maize,Kharif,93313,266875.18,2.86
2026,Gondia,Soybean,Kharif,231165,323631.0,1.4
2026,Gondia,Cotton,Kharif,263099,110501.58,0.42
2026,Gondia,Sugarcane,Kharif,90896,7468015.36,82.16
2026,Hingoli,Maize,Kharif,67909,185391.57,2.73
2026,Hingoli,Soybean,Kharif,168473,224069.09,1.33
2026,Hingoli,Cotton,Kharif,329069,144790.36,0.44
2026,Hingoli,Sugarcane,Kharif,51668,4136540.08,80.06
2026,Jalgaon,Maize,Kharif,116790,352705.8,3.02
2026,Jalgaon,Soybean,Kharif,282182,392232.98,1.39
2026,Jalgaon,Cotton,Kharif,197928,93026.16,0.47
2026,Jalgaon,Sugarcane,Kharif,77631,6413096.91,82.61
2026,Jalna,Maize,Kharif,77408,238416.64,3.08
2026,Jalna,Soybean,Kharif,168724,215966.72,1.28
2026,Jalna,Cotton,Kharif,272225,133390.25,0.49
2026,Jalna,Sugarcane,Kharif,85785,6701524.2,78.12
2026,Kolhapur,Maize,Kharif,90031,252987.11,2.81
2026,Kolhapur,Soybean,Kharif,274466,384252.4,1.4
2026,Kolhapur,Cotton,Kharif,246138,113223.48,0.46
2026,Kolhapur,Sugarcane,Kharif,74576,5690894.56,76.31
2026,Latur,Maize,Kharif,104175,314608.5,3.02
2026,Latur,Soybean,Kharif,256778,336379.18,1.31
2026,Latur,Cotton,Kharif,196096,84321.28,0.43
2026,Latur,Sugarcane,Kharif,49818,4435794.72,89.04
2026,Mumbai,Maize,Kharif,110450,353440.0,3.2
2026,Mumbai,Soybean,Kharif,194591,231563.29,1.19
2026,Mumbai,Cotton,Kharif,343505,168317.45,0.49
2026,Mumbai,Sugarcane,Kharif,52597,4300856.69,81.77
2026,Nagpur,Maize,Kharif,66737,210888.92,3.16
2026,Nagpur,Soybean,Kharif,255090,306108.0,1.2
2026,Nagpur,Cotton,Kharif,275847,124131.15,0.45
2026,Nagpur,Sugarcane,Kharif,60132,5298230.52,88.11
2026,Nanded,Maize,Kharif,85849,242952.67,2.83
2026,Nanded,Soybean,Kharif,225187,306254.32,1.36
2026,Nanded,Cotton,Kharif,229793,98810.99,0.43
2026,Nanded,Sugarcane,Kharif,90796,7668630.16,84.46
2026,Nandurbar,Maize,Kharif,86657,260837.57,3.01
2026,Nandurbar,Soybean,Kharif,169972,209065.56,1.23
2026,Nandurbar,Cotton,Kharif,252798,116287.08,0.46
2026,Nandurbar,Sugarcane,Kharif,58664,4541180.24,77.41
2026,Nashik,Maize,Kharif,66833,205845.64,3.08
2026,Nashik,Soybean,Kharif,184220,259750.2,1.41
2026,Nashik,Cotton,Kharif,340418,139571.38,0.41
2026,Nashik,Sugarcane,Kharif,58996,5001090.92,84.77
2026,Osmanabad,Maize,Kharif,74568,207299.04,2.78
2026,Osmanabad,Soybean,Kharif,277487,366282.84,1.32
2026,Osmanabad,Cotton,Kharif,275408,132195.84,0.48
2026,Osmanabad,Sugarcane,Kharif,82914,6377744.88,76.92
2026,Palghar,Maize,Kharif,68234,201972.64,2.96
2026,Palghar,Soybean,Kharif,209912,270786.48,1.29
2026,Palghar,Cotton,Kharif,318484,149687.48,0.47
2026,Palghar,Sugarcane,Kharif,90334,6812086.94,75.41
2026,Parbhani,Maize,Kharif,84741,245748.9,2.9
2026,Parbhani,Soybean,Kharif,267740,329320.2,1.23
2026,Parbhani,Cotton,Kharif,227955,102579.75,0.45
2026,Parbhani,Sugarcane,Kharif,66719,5228768.03,78.37
2026,Pune,Maize,Kharif,76489,248589.25,3.25
2026,Pune,Soybean,Kharif,212493,295365.27,1.39
2026,Pune,Cotton,Kharif,288454,118266.14,0.41
2026,Pune,Sugarcane,Kharif,90969,7960697.19,87.51
2026,Raigad,Maize,Kharif,115325,375959.5,3.26
2026,Raigad,Soybean,Kharif,266027,321892.67,1.21
2026,Raigad,Cotton,Kharif,277587,116586.54,0.42
2026,Raigad,Sugarcane,Kharif,65843,4922422.68,74.76
2026,Ratnagiri,Maize,Kharif,83464,274596.56,3.29
2026,Ratnagiri,Soybean,Kharif,189006,258938.22,1.37
2026,Ratnagiri,Cotton,Kharif,272441,119874.04,0.44
2026,Ratnagiri,Sugarcane,Kharif,89207,8039334.84,90.12
2026,Sangli,Maize,Kharif,93011,291124.43,3.13
2026,Sangli,Soybean,Kharif,174433,218041.25,1.25
2026,Sangli,Cotton,Kharif,358743,165021.78,0.46
2026,Sangli,Sugarcane,Kharif,71772,6177416.04,86.07
2026,Satara,Maize,Kharif,66086,201562.3,3.05
2026,Satara,Soybean,Kharif,220376,306322.64,1.39
2026,Satara,Cotton,Kharif,222448,108999.52,0.49
2026,Satara,Sugarcane,Kharif,52364,4024173.4,76.85
2026,Sindhudurg,Maize,Kharif,95131,295857.41,3.11
2026,Sindhudurg,Soybean,Kharif,185046,222055.2,1.2
2026,Sindhudurg,Cotton,Kharif,345568,148594.24,0.43
2026,Sindhudurg,Sugarcane,Kharif,73969,6210437.24,83.96
2026,Solapur,Maize,Kharif,85638,261195.9,3.05
2026,Solapur,Soybean,Kharif,223007,314439.87,1.41
2026,Solapur,Cotton,Kharif,230315,108248.05,0.47
2026,Solapur,Sugarcane,Kharif,59024,4739036.96,80.29
2026,Thane,Maize,Kharif,99271,285900.48,2.88
2026,Thane,Soybean,Kharif,195735,268156.95,1.37
2026,Thane,Cotton,Kharif,208187,93684.15,0.45
2026,Thane,Sugarcane,Kharif,90935,8196880.9,90.14
2026,Wardha,Maize,Kharif,66956,189485.48,2.83
2026,Wardha,Soybean,Kharif,189006,266498.46,1.41
2026,Wardha,Cotton,Kharif,343985,165112.8,0.48
2026,Wardha,Sugarcane,Kharif,64520,4928682.8,76.39
2026,Washim,Maize,Kharif,108022,337028.64,3.12
2026,Washim,Soybean,Kharif,234741,335679.63,1.43
2026,Washim,Cotton,Kharif,305868,125405.88,0.41
2026,Washim,Sugarcane,Kharif,83318,6557959.78,78.71
2026,Yavatmal,Maize,Kharif,98822,322159.72,3.26
2026,Yavatmal,Soybean,Kharif,171726,206071.2,1.2
2026,Yavatmal,Cotton,Kharif,213982,96291.9,0.45
2026,Yavatmal,Sugarcane,Kharif,60438,5059869.36,83.72
