Year,Date,District,Soil_Moisture_Percent,Unit
2026,2026-08-19,Ahmednagar,34.04,percent
2026,2026-08-20,Ahmednagar,32.83,percent
2026,2026-08-21,Ahmednagar,34.34,percent
2026,2026-08-22,Ahmednagar,32.69,percent
2026,2026-08-23,Ahmednagar,33.5,percent
2026,2026-08-24,Ahmednagar,29.6,percent
2026,2026-08-25,Ahmednagar,30.75,percent
2026,2026-08-26,Ahmednagar,31.17,percent
2026,2026-08-27,Ahmednagar,29.96,percent
2026,2026-08-28,Ahmednagar,30.93,percent
2026,2026-08-29,Ahmednagar,30.19,percent
2026,2026-08-30,Ahmednagar,31.31,percent
2026,2026-08-31,Ahmednagar,33.51,percent
2026,2026-09-01,Ahmednagar,31.93,percent
2026,2026-09-02,Ahmednagar,32.02,percent
2026,2026-09-03,Ahmednagar,31.11,percent
2026,2026-08-19,Akola,21.17,percent
2026,2026-08-20,Akola,19.21,percent
2026,2026-08-21,Akola,18.74,percent
2026,2026-08-22,Akola,15.88,percent
2026,2026-08-23,Akola,18.99,percent
2026,2026-08-24,Akola,15.37,percent
2026,2026-08-25,Akola,16.43,percent
2026,2026-08-26,Akola,19.86,percent
2026,2026-08-27,Akola,17.53,percent
2026,2026-08-28,Akola,16.79,percent
2026,2026-08-29,Akola,17.33,percent
2026,2026-08-30,Akola,18.04,percent
2026,2026-08-31,Akola,17.41,percent
2026,2026-09-01,Akola,13.9,percent
2026,2026-09-02,Akola,12.48,percent
2026,2026-09-03,Akola,13.95,percent
2026,2026-08-19,Amravati,22.32,percent
2026,2026-08-20,Amravati,26.48,percent
2026,2026-08-21,Amravati,25.84,percent
2026,2026-08-22,Amravati,22.24,percent
2026,2026-08-23,Amravati,24.05,percent
2026,2026-08-24,Amravati,22.26,percent
2026,2026-08-25,Amravati,25.14,percent
2026,2026-08-26,Amravati,22.18,percent
2026,2026-08-27,Amravati,20.78,percent
2026,2026-08-28,Amravati,20.44,percent
2026,2026-08-29,Amravati,22.1,percent
2026,2026-08-30,Amravati,20.07,percent
2026,2026-08-31,Amravati,21.77,percent
2026,2026-09-01,Amravati,23.42,percent
2026,2026-09-02,Amravati,20.2,percent
2026,2026-09-03,Amravati,18.88,percent
2026,2026-08-19,Aurangabad,22.97,percent
2026,2026-08-20,Aurangabad,20.95,percent
2026,2026-08-21,Aurangabad,21.19,percent
2026,2026-08-22,Aurangabad,22.06,percent
2026,2026-08-23,Aurangabad,25.67,percent
2026,2026-08-24,Aurangabad,27.15,percent
2026,2026-08-25,Aurangabad,25.43,percent
2026,2026-08-26,Aurangabad,23.77,percent
2026,2026-08-27,Aurangabad,26.18,percent
2026,2026-08-28,Aurangabad,30.37,percent
2026,2026-08-29,Aurangabad,28.06,percent
2026,2026-08-30,Aurangabad,31.21,percent
2026,2026-08-31,Aurangabad,31.05,percent
2026,2026-09-01,Aurangabad,26.45,percent
2026,2026-09-02,Aurangabad,31.2,percent
2026,2026-09-03,Aurangabad,31.46,percent
2026,2026-08-19,Beed,32.8,percent
2026,2026-08-20,Beed,35.09,percent
2026,2026-08-21,Beed,31.95,percent
2026,2026-08-22,Beed,33.92,percent
2026,2026-08-23,Beed,34.07,percent
2026,2026-08-24,Beed,37.11,percent
2026,2026-08-25,Beed,36.68,percent
2026,2026-08-26,Beed,33.04,percent
2026,2026-08-27,Beed,34.5,percent
2026,2026-08-28,Beed,32.61,percent
2026,2026-08-29,Beed,37.05,percent
2026,2026-08-30,Beed,36.83,percent
2026,2026-08-31,Beed,33.44,percent
2026,2026-09-01,Beed,35.52,percent
2026,2026-09-02,Beed,35.37,percent
2026,2026-09-03,Beed,32.67,percent
2026,2026-08-19,Bhandara,33.12,percent
2026,2026-08-20,Bhandara,34.82,percent
2026,2026-08-21,Bhandara,33.59,percent
2026,2026-08-22,Bhandara,30.68,percent
2026,2026-08-23,Bhandara,32.88,percent
2026,2026-08-24,Bhandara,31.32,percent
2026,2026-08-25,Bhandara,37.04,percent
2026,2026-08-26,Bhandara,37.0,percent
2026,2026-08-27,Bhandara,36.98,percent
2026,2026-08-28,Bhandara,34.1,percent
2026,2026-08-29,Bhandara,32.86,percent
2026,2026-08-30,Bhandara,38.04,percent
2026,2026-08-31,Bhandara,38.72,percent
2026,2026-09-01,Bhandara,33.81,percent
2026,2026-09-02,Bhandara,36.48,percent
2026,2026-09-03,Bhandara,34.24,percent
2026,2026-08-19,Buldhana,39.22,percent
2026,2026-08-20,Buldhana,35.66,percent
2026,2026-08-21,Buldhana,38.0,percent
2026,2026-08-22,Buldhana,38.71,percent
2026,2026-08-23,Buldhana,37.26,percent
2026,2026-08-24,Buldhana,41.17,percent
2026,2026-08-25,Buldhana,38.73,percent
2026,2026-08-26,Buldhana,37.72,percent
2026,2026-08-27,Buldhana,39.95,percent
2026,2026-08-28,Buldhana,41.35,percent
2026,2026-08-29,Buldhana,38.44,percent
2026,2026-08-30,Buldhana,39.36,percent
2026,2026-08-31,Buldhana,43.73,percent
2026,2026-09-01,Buldhana,41.92,percent
2026,2026-09-02,Buldhana,40.9,percent
2026,2026-09-03,Buldhana,41.64,percent
2026,2026-08-19,Chandrapur,18.26,percent
2026,2026-08-20,Chandrapur,18.56,percent
2026,2026-08-21,Chandrapur,19.68,percent
2026,2026-08-22,Chandrapur,17.16,percent
2026,2026-08-23,Chandrapur,16.72,percent
2026,2026-08-24,Chandrapur,15.44,percent
2026,2026-08-25,Chandrapur,18.43,percent
2026,2026-08-26,Chandrapur,15.63,percent
2026,2026-08-27,Chandrapur,19.31,percent
2026,2026-08-28,Chandrapur,18.66,percent
2026,2026-08-29,Chandrapur,13.55,percent
2026,2026-08-30,Chandrapur,14.17,percent
2026,2026-08-31,Chandrapur,16.38,percent
2026,2026-09-01,Chandrapur,13.27,percent
2026,2026-09-02,Chandrapur,12.4,percent
2026,2026-09-03,Chandrapur,16.84,percent
2026,2026-08-19,Dhule,27.12,percent
2026,2026-08-20,Dhule,29.06,percent
2026,2026-08-21,Dhule,29.27,percent
2026,2026-08-22,Dhule,25.64,percent
2026,2026-08-23,Dhule,25.15,percent
2026,2026-08-24,Dhule,27.22,percent
2026,2026-08-25,Dhule,27.25,percent
2026,2026-08-26,Dhule,27.58,percent
2026,2026-08-27,Dhule,29.23,percent
2026,2026-08-28,Dhule,28.96,percent
2026,2026-08-29,Dhule,30.9,percent
2026,2026-08-30,Dhule,25.65,percent
2026,2026-08-31,Dhule,27.55,percent
2026,2026-09-01,Dhule,27.24,percent
2026,2026-09-02,Dhule,30.45,percent
2026,2026-09-03,Dhule,26.84,percent
2026,2026-08-19,Gadchiroli,18.35,percent
2026,2026-08-20,Gadchiroli,17.88,percent
2026,2026-08-21,Gadchiroli,16.71,percent
2026,2026-08-22,Gadchiroli,16.23,percent
2026,2026-08-23,Gadchiroli,19.96,percent
2026,2026-08-24,Gadchiroli,16.77,percent
2026,2026-08-25,Gadchiroli,18.96,percent
2026,2026-08-26,Gadchiroli,16.79,percent
2026,2026-08-27,Gadchiroli,13.48,percent
2026,2026-08-28,Gadchiroli,18.86,percent
2026,2026-08-29,Gadchiroli,17.57,percent
2026,2026-08-30,Gadchiroli,18.06,percent
2026,2026-08-31,Gadchiroli,17.5,percent
2026,2026-09-01,Gadchiroli,16.72,percent
2026,2026-09-02,Gadchiroli,12.32,percent
2026,2026-09-03,Gadchiroli,13.92,percent
2026,2026-08-19,Gondia,22.22,percent
2026,2026-08-20,Gondia,19.88,percent
2026,2026-08-21,Gondia,21.51,percent
2026,2026-08-22,Gondia,24.86,percent
2026,2026-08-23,Gondia,20.26,percent
2026,2026-08-24,Gondia,23.08,percent
2026,2026-08-25,Gondia,20.82,percent
2026,2026-08-26,Gondia,20.34,percent
2026,2026-08-27,Gondia,23.26,percent
2026,2026-08-28,Gondia,23.21,percent
2026,2026-08-29,Gondia,20.28,percent
2026,2026-08-30,Gondia,20.97,percent
2026,2026-08-31,Gondia,17.3,percent
2026,2026-09-01,Gondia,17.87,percent
2026,2026-09-02,Gondia,21.61,percent
2026,2026-09-03,Gondia,18.99,percent
2026,2026-08-19,Hingoli,30.61,percent
2026,2026-08-20,Hingoli,26.5,percent
2026,2026-08-21,Hingoli,29.71,percent
2026,2026-08-22,Hingoli,29.26,percent
2026,2026-08-23,Hingoli,31.4,percent
2026,2026-08-24,Hingoli,27.27,percent
2026,2026-08-25,Hingoli,32.14,percent
2026,2026-08-26,Hingoli,26.89,percent
2026,2026-08-27,Hingoli,27.57,percent
2026,2026-08-28,Hingoli,30.07,percent
2026,2026-08-29,Hingoli,30.59,percent
2026,2026-08-30,Hingoli,27.99,percent
2026,2026-08-31,Hingoli,27.34,percent
2026,2026-09-01,Hingoli,32.01,percent
2026,2026-09-02,Hingoli,28.19,percent
2026,2026-09-03,Hingoli,30.32,percent
2026,2026-08-19,Jalgaon,18.1,percent
2026,2026-08-20,Jalgaon,19.21,percent
2026,2026-08-21,Jalgaon,18.96,percent
2026,2026-08-22,Jalgaon,21.55,percent
2026,2026-08-23,Jalgaon,17.29,percent
2026,2026-08-24,Jalgaon,20.48,percent
2026,2026-08-25,Jalgaon,17.73,percent
2026,2026-08-26,Jalgaon,18.79,percent
2026,2026-08-27,Jalgaon,20.57,percent
2026,2026-08-28,Jalgaon,18.46,percent
2026,2026-08-29,Jalgaon,18.67,percent
2026,2026-08-30,Jalgaon,21.41,percent
2026,2026-08-31,Jalgaon,17.45,percent
2026,2026-09-01,Jalgaon,19.89,percent
2026,2026-09-02,Jalgaon,23.25,percent
2026,2026-09-03,Jalgaon,23.35,percent
2026,2026-08-19,Jalna,20.65,percent
2026,2026-08-20,Jalna,20.54,percent
2026,2026-08-21,Jalna,24.12,percent
2026,2026-08-22,Jalna,23.38,percent
2026,2026-08-23,Jalna,22.94,percent
2026,2026-08-24,Jalna,19.46,percent
2026,2026-08-25,Jalna,17.76,percent
2026,2026-08-26,Jalna,21.39,percent
2026,2026-08-27,Jalna,20.18,percent
2026,2026-08-28,Jalna,19.2,percent
2026,2026-08-29,Jalna,21.03,percent
2026,2026-08-30,Jalna,18.6,percent
2026,2026-08-31,Jalna,14.3,percent
2026,2026-09-01,Jalna,18.73,percent
2026,2026-09-02,Jalna,15.2,percent
2026,2026-09-03,Jalna,16.95,percent
2026,2026-08-19,Kolhapur,30.1,percent
2026,2026-08-20,Kolhapur,30.43,percent
2026,2026-08-21,Kolhapur,30.82,percent
2026,2026-08-22,Kolhapur,33.93,percent
2026,2026-08-23,Kolhapur,32.69,percent
2026,2026-08-24,Kolhapur,35.12,percent
2026,2026-08-25,Kolhapur,36.24,percent
2026,2026-08-26,Kolhapur,33.59,percent
2026,2026-08-27,Kolhapur,36.61,percent
2026,2026-08-28,Kolhapur,34.83,percent
2026,2026-08-29,Kolhapur,36.62,percent
2026,2026-08-30,Kolhapur,39.56,percent
2026,2026-08-31,Kolhapur,39.64,percent
2026,2026-09-01,Kolhapur,35.56,percent
2026,2026-09-02,Kolhapur,37.98,percent
2026,2026-09-03,Kolhapur,37.54,percent
2026,2026-08-19,Latur,31.62,percent
2026,2026-08-20,Latur,30.31,percent
2026,2026-08-21,Latur,27.57,percent
2026,2026-08-22,Latur,29.95,percent
2026,2026-08-23,Latur,28.31,percent
2026,2026-08-24,Latur,27.07,percent
2026,2026-08-25,Latur,24.07,percent
2026,2026-08-26,Latur,23.96,percent
2026,2026-08-27,Latur,28.32,percent
2026,2026-08-28,Latur,27.94,percent
2026,2026-08-29,Latur,25.3,percent
2026,2026-08-30,Latur,26.54,percent
2026,2026-08-31,Latur,24.53,percent
2026,2026-09-01,Latur,21.42,percent
2026,2026-09-02,Latur,20.8,percent
2026,2026-09-03,Latur,21.39,percent
2026,2026-08-19,Mumbai,24.63,percent
2026,2026-08-20,Mumbai,25.41,percent
2026,2026-08-21,Mumbai,26.04,percent
2026,2026-08-22,Mumbai,22.31,percent
2026,2026-08-23,Mumbai,22.94,percent
2026,2026-08-24,Mumbai,22.46,percent
2026,2026-08-25,Mumbai,26.92,percent
2026,2026-08-26,Mumbai,27.95,percent
2026,2026-08-27,Mumbai,25.48,percent
2026,2026-08-28,Mumbai,27.16,percent
2026,2026-08-29,Mumbai,24.77,percent
2026,2026-08-30,Mumbai,29.82,percent
2026,2026-08-31,Mumbai,29.83,percent
2026,2026-09-01,Mumbai,30.89,percent
2026,2026-09-02,Mumbai,30.3,percent
2026,2026-09-03,Mumbai,31.12,percent
2026,2026-08-19,Nagpur,32.38,percent
2026,2026-08-20,Nagpur,29.48,percent
2026,2026-08-21,Nagpur,32.6,percent
2026,2026-08-22,Nagpur,31.35,percent
2026,2026-08-23,Nagpur,31.25,percent
2026,2026-08-24,Nagpur,30.45,percent
2026,2026-08-25,Nagpur,26.71,percent
2026,2026-08-26,Nagpur,29.36,percent
2026,2026-08-27,Nagpur,24.81,percent
2026,2026-08-28,Nagpur,28.92,percent
2026,2026-08-29,Nagpur,28.36,percent
2026,2026-08-30,Nagpur,24.07,percent
2026,2026-08-31,Nagpur,27.16,percent
2026,2026-09-01,Nagpur,24.55,percent
2026,2026-09-02,Nagpur,23.14,percent
2026,2026-09-03,Nagpur,25.61,percent
2026,2026-08-19,Nanded,32.95,percent
2026,2026-08-20,Nanded,33.69,percent
2026,2026-08-21,Nanded,34.23,percent
